catalog_name,type,tag,img,relea_date,catalog_book_list
Suzume,Light Novel,Drama Fantasy,Suzumebanner.png,2020-01-01,Suzume_no_Tojimari_(LN1)
Classroom_of_the_Elite,Light Novel,"School  Drama ",Classroombanner.png,2020-01-01,Classroom_of_the_Elite_(LN1)
Lala_No_Kekkon,Light Novel,Romance,Lala_No_Kekkonbanner.png,2020-01-01,Lala_no_Kekkon_(LN1)
Silent_Witch,Light Novel,Fantasy Drama,Silent_Witchbanner.png,2020-01-01,Silent_Witch_(LN1)
Maou_Gakuin_no_Futekigousha,Light Novel,Action Fantasy,Maou_Gakuin_no_Futekigoushabanner.png,2020-01-01,Maou_Gakuin_no_Futekigousha_(LN1)
Buta_Koshaku_ni_Tensei_Shitakara,"Light Novel ",Isekai Comedy Romance,Buta_Koshaku_ni_Tensei_Shitakarabanner.png,2020-01-01,Buta_Koshaku_ni_Tensei_Shitakara_(LN1)
