series_name,detail_series,last_update,img,author,book_catalog_obj
Suzume no Tojimari,suzumedetail.png,2020-01-01,suzume_series.png,Makoto Shinkai,Suzume_LN
Classroom of the Elite,Classroomdetail.png,2020-01-01,Classroom_of the_Elite_series.png,Shōgo Kinugasa,Classroom_of_the_Elite_LN
Lala No Kekkon,Lala_No_Kekkondetail.png,2020-01-01,Lala_No_Kekkon_series.png,TAMEKOU,Lala_No_Kekkon_LN
Silent Witch Chinmoku no Majo no Kakushigoto,detail,2020-01-01,Silent_Witch_series.png,author,what_obj
Maou Gakuin no Futekigousha,detail,2020-01-01,Maou_Gakuin_no_Futekigousha_series.png,author,what_obj
Buta no Koukou,2020-01-01,detail,Buta_Koshaku_ni_Tensei_Shitakara_series.png,author,what_obj
